id,hate_feature,categories
18532,wider audience,Other
18532,run money,cost
67896,unbiased volume,Other
67896,lower roi,roi
67896,costly roi,roi
67896,saw roi,roi
67896,week launching,Other
67896,paid subscription,security
67896,deal lead,social
177131,additional feature,Info
177131,feature linkedin,Info
177131,linkedin integration,Other
177131,nt evaluate,Other
179859,feature mean,Info
179859,mean flow,Other
179859,slight hindrance,Other
179888,least service,Other
179888,integrated service,Other
182325,integrate system,Other
182325,passive detractor,Other
182325,detractor comment,Other
182325,comment doubt,Other
182325,doubt help,Other
182489,little product,Other
182489,featurelight future,Info
183103,hard anything,Other
183103,simple explainer,Other
183103,show value,needs
183103,value functionality,needs
183130,platform develops,Other
184048,product ton,Other
184048,ton reporting,needs
184054,think anything,Other
188630,moment product,Other
188630,focus breathe,Other
188630,air product,Other
188638,ihas tailor,Other
188638,working tailor,Other
188638,made approach,Other
188638,campaign something,Other
188638,product market,Other
188638,market product,Other
188638,limited practice,Other
188638,advisory practice,Other
188638,practice organization,Other
188638,way implement,Other
188638,implement campaign,Other
188638,bring client,Other
188638,future client,Other
188638,campaign execution,Other
190023,found anything,Other
199474,grow feedback,Other
199474,feedback user,Other
199954,newer product,Other
199954,bit hand,Other
199954,onboarded product,Other
199954,saying support,Other
201553,bad experience,Info
202787,lack slack,needs
202787,slack integration,needs
202787,integration patrick,Other
202787,integrated move,Other
202787,product engineering,Other
202787,engineering side,Other
202787,seeing feature,Info
276255,consider midmarket,Other
276255,small granular,Info
276255,made granular,Info
277669,suck customer,Other
277669,negative information,Info
277669,information allows,Info
277669,need work,Other
277669,work order,Other
280373,grid question,Other
280373,question validity,Other
280373,appear question,Other
280373,market presence,Other
280373,presence algorithm,Other
280373,secret report,Other
280373,think report,Other
280373,usability ease,Other
280373,ease setup,Other
280373,larger vendor,Other
288758,tool month,tools and tech
288758,month feeling,Other
289187,le burden,Info
289187,burden customer,Info
289187,customer fill,Other
296992,think anything,Other
297223,work product,Other
297223,product profile,Other
297223,set site,Other
297239,linkedin log,social
297239,hard work,Other
297426,low volume,Other
297426,working rep,Other
297426,find solution,Other
297426,solution help,Other
297426,help increase,Other
297426,increase volume,Other
300311,thing think,Other
300311,think improvement,Other
300311,reliability adroll,Other
300948,enough prominence,Other
300948,prominence nt,Other
300948,think charity,Other
300948,charity donation,Other
300948,think way,Other
300948,seeing balance,Other
300948,company moment,Other
300948,single customer,Other
300948,customer skew,Other
300976,category result,Other
300976,different product,Other
300976,noncompetitive product,Other
300976,product category,Other
300976,make product,Other
300976,hard compare,Other
302708,grown pricing,Other
302708,forecasting harder,Other
302708,additional way,Other
302708,generate lead,social
302708,lead system,social
302708,core solution,Other
302708,solution offering,Other
305790,setting product,Other
305790,profile bit,Other
305790,cumbersome page,landing and other pages
305790,corporate page,landing and other pages
305790,individual product,Other
305790,entire portfolio,Other
307360,seo penetration,tools and tech
307360,least generate,Other
307360,category generate,Other
307360,organic lead,social
309559,star rating,Other
309559,rating nt,Other
309559,used move,Other
309559,drove traffic,Other
309559,traffic site,Other
320249,found anything,Other
329787,nt see,Other
329787,profile page,landing and other pages
333833,system bit,Other
333833,intuitive user,Other
333833,cleaner user,Other
333833,end user,Other
333833,proponent copy,Other
333833,take que,Other
333833,que yelp,Other
333833,tripadvisor term,security
333833,present company,Other
333833,company category,Other
333833,category list,Other
333833,list view,Other
333833,think guy,Other
333833,respective category,Other
333833,product category,Other
333833,able rank,Other
333833,category bit,Other
333833,misleading end,social
333833,think end,Other
333833,end user,Other
333833,relying site,Other
333931,question way,Other
333931,ongoing feedback,Other
333931,feedback customer,Other
333931,allow feature,Info
334128,stronger brand,Other
334128,several colleague,Other
334128,colleague b2b,Other
334128,heard platform,Other
334128,take bit,Other
334128,gold standard,Other
334309,dive bit,Other
334309,deeper customer,Other
334309,customer usage,Other
334309,usage case,Other
334309,sorting capability,Other
334309,capability region,Other
334309,region case,Other
334965,common theme,Other
334965,theme export,Other
334965,excel csv,Other
334965,csv doc,needs
335954,future growth,Other
336467,least program,tools and tech
336467,internal resource,Info
336467,resource order,Info
336467,order garner,Other
336467,benefit platform,Other
336467,believe pay,Other
336467,pay term,Other
336576,gain visibility,Other
336576,visibility training,Other
336576,utilize featurestools,Info
336576,put place,Other
336667,content marketing,Other
336667,marketing program,tools and tech
336667,stage nt,Other
336667,due ad,Other
336667,ad design,Other
336667,feature nt,Info
336667,lead nt,social
336667,little nt,Other
336667,confusing nt,needs
336667,nt web,Other
336667,web dev,Other
336667,dev experience,Info
336667,experience evaluation,Info
336667,evaluation grid,Other
336667,favor market,Other
336667,market size,Other
336667,nt work,Other
336667,work enterprise,Other
336667,enterprise business,Other
336667,labeled market,Other
336667,market leader,social
336667,portfolio comparison,Other
336667,comparison report,Other
336667,smaller startup,Other
336718,solved iteration,Other
336718,messaging etc,Other
336726,customizability button,Other
336726,button vendor,Other
336726,vendor page,landing and other pages
336726,working feedback,Other
336856,lead lead,social
336856,embed feature,Info
336856,limiting ability,Other
336856,specific section,Other
336856,testimonial embed,Other
336870,outside idea,Other
336870,basic idea,Other
336870,limited suggestion,Other
336870,suggestion seem,Other
336870,spending money,cost
336870,inbound lead,social
336870,lead activity,social
336870,nt experience,Info
336870,specific product,Other
337033,grid way,Other
337033,ass market,Other
337033,market presence,Other
337119,customize qualification,Other
337119,qualification question,Other
337119,question anyone,Other
337119,anyone request,Other
337119,request demo,Other
337501,nt element,Other
337501,element profile,Other
337501,profile page,landing and other pages
337501,customizable example,Other
337501,example watch,Other
337501,watch demo,Other
337501,demo button,Other
337728,survey process,Other
337902,crowd month,Other
338568,little trouble,Other
338568,establishing contact,Other
338568,ongoing rep,Other
338568,rep person,Other
338568,set campaign,Other
338568,helpful instruction,Other
339183,open feedback,Other
341360,variety product,Other
341360,send customer,Other
341360,different page,landing and other pages
341360,page write,landing and other pages
341641,company profile,Other
342331,nt form,Other
342331,form deal,Other
342331,deal breaker,Other
345131,lead report,social
345131,scoring report,Other
345131,influenced volume,Other
345742,nt basis,Other
345742,portal basis,Other
345742,regular basis,Other
345742,make change,Other
345742,select series,Other
345742,website see,Other
345742,brandfree r,Other
345742,r feed,Other
345742,publish website,Other
345742,testimonial website,Other
346659,lead feature,social
348994,account manager,Other
348994,helpful feedback,Other
348994,open feedback,Other
348994,feedback bit,Other
348994,pricey business,cost
348994,small business,Other
348994,business market,Other
348994,market rate,Other
351531,predefined page,landing and other pages
351531,ups example,Other
351531,example word,Other
351531,word software,tools and tech
351531,software end,tools and tech
351531,end product,Other
351531,product name,Other
351531,name product,Other
351531,product software,tools and tech
351531,software sentence,tools and tech
351531,software end,tools and tech
354532,impossible quantify,Other
354532,least quantify,Other
354532,hard quantify,Other
354532,quantify roi,roi
354532,roi track,roi
354532,track demo,Other
354532,demo request,Other
354532,salesforce measure,Other
354532,lie tofu,Other
354532,tofu brand,Other
354532,brand awareness,Other
354532,viewing page,landing and other pages
354532,page data,landing and other pages
354532,data pageviews,landing and other pages
354532,ip address,security
354532,spotty database,tools and tech
354532,database eg,tools and tech
354532,comcast llc,Other
354532,viewed page,landing and other pages
354532,refining data,Other
354532,individual level,Other
354532,lead level,social
354532,attribution value,needs
354532,touch channel,Other
366147,multiple category,security
366147,category technology,Other
366147,technology meet,Other
366147,multiple product,security
366147,product category,Other
369501,improve way,Other
369501,way video,Other
369501,video reader,Other
369501,grid format,Other
369501,current format,Other
370467,upgraded license,Other
370467,license grid,Other
370467,grid badge,tools and tech
370467,badge category,tools and tech
370467,unfortunately leader,social
370467,leader badge,social
370467,profile report,Other
370467,report category,Other
370467,category leader,social
370467,generated report,Other
370467,category leader,social
370467,update badge,tools and tech
370467,badge profile,tools and tech
370467,profile whenas,Other
370467,whenas company,Other
370467,grid page,landing and other pages
370467,profile page,landing and other pages
370467,inaccurate category,Other
370467,category description,security
370467,say leader,social
370467,include brand,Other
370467,brand profile,Other
371950,streamlined process,Other
371950,daunting cumbersome,Other
371950,see documentation,needs
371950,practice report,Other
371950,report spiff,Other
371950,spiff response,Other
372540,downside product,Other
372540,product category,Other
372540,category le,Other
372540,others something,Other
372540,looking forward,Other
377146,offering thing,Other
377146,api integration,Other
377146,leverage search,tools and tech
377146,active search,tools and tech
377146,search data,tools and tech
377146,data push,Other
377146,push sale,Other
377146,sale team,Other
377146,update part,Other
377146,part beta,Other
377146,beta program,tools and tech
377146,sfdc connector,Other
377260,nt control,Other
377260,control traffic,Other
377260,traffic page,landing and other pages
377260,page increase,landing and other pages
378271,brand recognition,Other
378271,recognition site,Other
378271,potential recognition,Other
380575,core platform,Other
380575,basic team,Other
380575,need team,Other
380575,additional need,Other
380649,made improvement,Other
380649,improvement visitor,Other
380649,prospect report,Other
380649,report lead,social
380649,lead stats,social
380649,leader batch,social
380649,allow reflection,Other
380649,profile reflection,Other
380649,rid change,Other
381519,bug side,Info
381519,admin side,Other
381519,side prevent,Other
381519,crowd team,Other
396580,report tony,Other
396580,made everything,Other
396580,everything breeze,Other
415865,keen tool,tools and tech
415865,reporting tool,tools and tech
415865,hard key,Other
415865,key word,Other
415865,word search,tools and tech
415865,responsive company,Other
415865,research team,tools and tech
419224,potentiall expertise,Other
419224,expertise hook,Other
419224,feature eg,Info
419224,eg integrate,Other
419224,integrate crm,Other
457279,data help,Other
457279,help support,Other
457279,support competitor,Other
457279,competitor comparison,Other
457954,month complaint,Other
474344,expand activity,Other
474344,independent company,Other
474344,stringent activity,Other
474344,activity springcm,Other
479059,visitor section,Other
492019,happening platform,Other
492019,make selfimplementation,Other
492019,selfimplementation cumbersome,Other
492019,cumbersome process,Other
515733,lead generation,social
515733,crowd link,Other
515733,weakest link,Other
519906,possible download,Other
519906,download customer,Other
519906,paid product,Other
519906,additional insight,Other
519906,export option,Other
527085,customized data,Other
543274,information company,Info
543274,compare solution,Other
555826,frontend customization,Other
555826,customization capability,Other
555826,capability minor,Other
559639,different charity,Other
559639,charity option,Other
559639,option client,Other
559639,client choose,Other
563097,take day,Other
563097,made capterra,Other
563097,capterra xero,Other
572892,way block,Other
572892,block analytics,Other
572892,ip address,security
572892,address differentiate,Other
572892,differentiate visitor,Other
572892,visitor traffic,Other
572892,traffic team,Other
572892,team monitoring,Other
572892,updating page,landing and other pages
573859,option profile,Other
573859,log ticket,Other
573859,ticket support,Other
573859,preferable respond,Other
573859,personal linkedin,Other
573859,profile comment,Other
574606,user report,Other
574606,report report,Other
575567,permissioning option,Other
575567,authorize member,Other
575567,member management,Other
575567,management support,Other
575567,support team,Other
575567,team respond,Other
575567,giving access,Other
575567,dashboard option,Other
575567,option respond,Other
575567,respond company,Other
579793,take parameter,Other
579793,clear waste,Other
579793,narrow waste,Other
579793,nt waste,Other
604995,miss change,Other
604995,saving change,Other
604995,change show,Other
604995,show update,Other
610996,side navigation,Other
610996,hard find,Other
610996,based everything,Other
613314,business goal,Other
613314,goal drive,Other
613314,drive traffic,Other
613314,comparison tool,tools and tech
616298,platform lack,needs
616298,lack multilanguage,needs
616298,multilanguage support,Other
616298,oriented software,tools and tech
616298,software market,tools and tech
616298,global activity,Other
616298,writing something,Other
616298,language hand,Other
616298,credibility reputation,Other
616298,reputation score,Other
616298,table effords,Other
616298,commuincating platform,Other
616298,usa market,Other
616298,usa software,tools and tech
616298,software consumer,tools and tech
616298,consumer efford,Other
617139,feedback customer,Other
617139,easier reward,Other
617139,redeem reward,Other
626776,onboarding setup,Other
626776,setup simple,Other
636315,manual integration,Other
636315,think customer,Other
636315,customer benefit,Other
636315,benefit finer,Other
636315,filtering criterion,Other
636315,validation contact,Other
636315,info generation,Info
636315,lead generation,social
636315,offering instance,Other
636315,last name,Other
636315,name phone,Other
636315,phone number,Other
636315,incomplete lead,social
636315,missing lead,social
637248,crowd marketing,Other
637248,marketing solution,Other
637585,different category,Other
637585,done traction,Other
641705,defer marketing,Other
641705,marketing director,Other
641705,director sale,Other
641705,sale customer,Other
641731,everythingi nt,Other
644918,platform week,Other
645373,private help,Other
645373,help company,Other
645373,thank help,Other
646011,user interface,needs
646011,little issue,Other
646011,cluttered issue,Other
646011,seem issue,Other
646011,visual hierarchy,Other
646011,difficult report,Other
646011,report offer,Other
646011,shame chat,Other
646011,minor chat,Other
646011,chat option,Other
646011,common bottom,Other
646011,icon bottom,Other
646011,several area,Other
646011,area site,Other
646011,make site,Other
646011,site feel,Other
646011,cluttered salesy,Other
646011,user interface,needs
647201,expensive startup,cost
647201,startup buy,Other
647201,used year,Other
649497,comprehensive list,Other
649497,list marketing,Other
649497,marketing asset,social
649497,asset way,social
649497,way asset,social
649497,bigger customer,Other
649497,library customer,Other
649497,serve customer,Other
658177,looking measure,Other
658177,measure roi,roi
659355,lead capture,social
659355,capture analytics,Other
659355,detail example,Other
659355,example category,Other
659355,category listing,Other
659355,generated view,Other
663023,researching software,tools and tech
663023,company name,Other
663023,name state,Other
665413,trial click,Other
665413,quality lead,social
673068,elicits interaction,Other
673068,interaction view,Other
673248,lack data,needs
673248,data connector,Other
673248,premium package,Other
673248,limited evaluate,Other
673248,evaluate customer,Other
673248,customer journey,Other
673248,journey salesforce,Other
673248,crowd result,Other
673248,evaluate roi,roi
673248,roi goal,roi
673248,goal platform,Other
673248,platform recommend,Other
673248,recommend development,Other
673248,development consider,Other
673248,introducing support,Other
673248,support data,Other
673248,data connector,Other
673248,connector salesforce,Other
673248,salesforce google,Other
673248,google analytics,Other
673248,adroll customization,Other
673248,customization support,Other
673248,support profile,Other
673248,tailored client,Other
673248,client need,Other
674289,wanted move,Other
674289,ass inform,Info
674289,inform team,Info
674289,team gather,Other
674289,gather advice,Other
674289,advice others,Other
674289,others company,Other
680490,onboarding process,Other
680490,attention detail,Other
680490,detail involvement,Other
680490,team rarity,Other
680490,larger organization,Other
680490,organization today,Other
682660,premium profile,Other
682660,profile feature,Info
689224,landing page,landing and other pages
692878,email customer,social
692878,email notify,social
692878,notify customer,Other
692878,earn gift,Other
692878,gift card,Other
692878,offered chance,Other
692878,chance choose,Other
692878,choose date,Other
692878,date email,social
692878,day period,Other
692878,period opinion,Other
692878,space email,social
692878,customer option,Other
692878,future send,Other
692878,send email,social
692878,email disclaimer,social
692878,forgotdid nt,Other
692878,nt realize,Other
700634,cluttered space,Other
700634,space overlistings,Other
700634,overlistings product,Other
705595,believe impedes,Other
708085,nt someone,Other
708085,intuitive someone,Other
708085,answer question,Other
713971,utilize abm,Other
713971,abm functionality,Other
713971,quadrant functionality,Other
713971,serving offer,Other
713971,profile proactive,Other
713971,ie proactive,Other
713971,based account,Other
713971,account list,Other
715566,platform team,Other
716665,add experience,Info
718100,default category,Other
722725,profile system,Other
728538,nt visibility,Other
728538,visibility data,Other
729104,granular data,Info
729104,visiting category,Other
729104,category navigation,Other
729104,little backend,Other
729104,confusing backend,needs
729104,randomly menu,Other
739332,looking area,Other
739332,area potential,Other
739332,potential concern,Other
743188,meter invitation,Other
747710,specific thing,Other
747710,thing nt,Other
748284,think vision,Other
748284,vision roadmap,Other
748284,broader value,needs
748284,value guess,needs
748284,difficult part,Other
748284,part change,Other
748284,change management,Other
748284,management side,Other
748284,side ie,Other
748284,ie team,Other
748284,feature information,Info
748284,internal sale,Other
748284,sale marketing,Other
748284,marketing support,Other
748284,support product,Other
748284,product process,Other
749930,annual revenue,roi
753884,unsure money,cost
753884,hoping see,Other
756422,effectiveness service,Other
756422,service area,Other
756422,area profile,Other
756422,profile service,Other
766100,manual thing,Other
766100,thing account,Other
766100,mapping implementation,Other
766100,intensive sale,Other
766100,sale op,Other
766100,andor end,Other
766100,end user,Other
766100,working way,Other
766100,improve work,Other
766100,work flow,Other
766100,think playbook,Other
780657,initial performance,Other
780657,performance goal,Other
780657,lead generation,social
780657,generation brand,Other
780657,brand visibility,Other
780657,visibility leader,social
780657,grid nt,Other
780657,frankly nt,Other
780657,lead placement,social
780657,annual contract,Other
780657,see activity,Other
780657,regular activity,Other
780657,effectiveness intent,Other
780657,intent program,tools and tech
780657,expensive justify,cost
780657,difficult justify,Other
780657,low cost,cost
780657,cost acquisition,cost
780657,needed roi,roi
803810,additional work,Other
803810,update integration,Other
803810,api integration,Other
803810,marketingdisplaysocial platform,social
807808,deal sale,Other
807808,sale onboarding,Other
807808,onboarding process,Other
815404,used premium,Other
815404,premium account,Other
815404,feature question,Info
846349,login process,Other
846349,email login,social
846349,login account,Other
862086,demandgen marketer,needs
862086,lead goal,social
862086,hoping see,Other
862086,nt doubt,Other
862086,broader value,needs
862086,value platform,needs
862086,exposed visitor,Other
862086,visitor data,Other
862086,evidence role,Other
862086,buying process,Other
862086,assign value,needs
862086,value roi,roi
862086,focused environment,Other
862086,established sale,Other
862086,sale system,Other
877046,nt self,Other
877046,self service,Other
877046,needed support,Other
877046,support example,Other
877046,example company,Other
877046,company bio,Other
877046,bio logo,Other
877046,nt change,Other
879317,provided marketshare,Other
879317,raw user,Other
879317,user data,Other
884266,select owner,Other
884266,owner product,Other
884266,figured notification,Other
884266,personal email,social
884266,email address,social
884266,linkedin account,Other
884266,email account,social
898607,buyer intent,Other
898607,money name,cost
898607,name email,social
898607,email address,social
914854,event team,Other
914854,team bit,Other
914854,valid user,Other
914854,user client,Other
914854,client event,Other
914854,event reason,Other
914854,different function,Other
946205,landing page,landing and other pages
946205,configure order,Other
946205,show customization,Other
946205,customization option,Other
946205,option ability,Other
946205,see view,Other
946205,view page,landing and other pages
953874,service bit,Other
953874,pricey side,cost
990946,overall platform,Other
990946,take thing,Other
990946,practice customer,Other
990946,team presence,Other
990946,presence europe,Other
990946,european marketing,Other
990946,big plus,Other
1093460,backend interface,needs
1093460,little bit,Other
1093460,intuitive possibility,Other
1093460,possibility rule,Other
1093460,based customer,Other
1093460,customer intent,Other
1093460,intent email,social
1108085,nt category,Other
1108085,category research,tools and tech
1108085,research team,tools and tech
1108085,little bit,Other
1198532,crowd experience,Info
1210139,complaint product,Other
1210139,product staff,Other
1210139,staff service,Other
1210139,prize quality,Info
1210139,date day,Other
1210139,day post,Other
1210139,post account,Other
1210139,nt wig,Other
1210139,actual software,tools and tech
1210139,fake news,Other
1210139,news fake,Other
1210139,pokemon team,Other
1210139,crowd catch,Other
1239365,algorithm prioritize,Other
1239365,recent nt,Other
1239365,helpful nt,Other
1239365,lengthy nt,Other
1239365,context consideration,Other
1239365,increase subscription,security
1239365,subscription price,security
1239365,price year,cost
1239365,functionality tool,tools and tech
1239365,tool leverage,tools and tech
1239365,cost smbs,cost
1252607,onboarded clarity,Other
1252607,clarity pricing,Other
1252607,pricing pricing,Other
1252607,pricing talk,Other
1252607,happen lends,Other
1252607,beginning lends,Other
1252607,lends confusion,Other
1299532,long way,Other
1305076,pushing account,Other
1305076,automated advertising,Other
1305076,advertising campaign,Other
1305076,programmatic channel,tools and tech
1305076,done csv,Other
1305076,csv file,Other
1305076,solvable zapier,Other
1305076,using zapier,Other
1305076,see integration,Other
1305076,eg outreachio,Other
1322855,little traffic,Other
1322855,australianz roi,roi
1322855,seeing roi,roi
1333787,feature cram,Info
1333787,cram denying,Other
1333787,big improvement,Other
1333787,improvement tournew,Other
1333787,tournew tool,tools and tech
1333787,tool guide,tools and tech
1333787,starting look,Other
1333787,bring future,Other
1368615,visitor traffic,Other
1368615,traffic reading,Other
1369667,platform interface,needs
1369667,intuitive consumer,Other
1369667,difficult consumer,Other
1369667,switch consumer,Other
1369667,consumer view,Other
1369667,admin view,Other
1419959,easier way,Other
1419959,way buyer,Other
1419959,buyer intent,Other
1419959,intent data,Other
1419959,data system,Other
1419959,system salesforce,Other
1419959,easier abm,Other
1444638,interestlike tech,Other
1444638,tech companyin,Other
1444638,integrated platform,Other
1444638,remain customer,Other
1444638,communication call,Other
1444638,set integration,Other
1444638,end moment,Other
1444638,deal breaker,Other
1444638,small team,Other
1444638,bootstrapped team,Other
1444638,team need,Other
1444638,need bit,Other
1444638,bit consideration,Other
1444638,platform team,Other
1449362,working campaign,Other
1452442,biggest hurtle,Other
1452442,lead integration,social
1452442,data way,Other
1452442,prior buying,Other
1452442,key feature,Info
1452442,pinged team,Other
1452442,little therefore,Other
1452442,turned experience,Info
1452442,specific way,Other
1452442,turn way,Other
1452442,wanted wait,Other
1452442,wait week,Other
1452442,lead api,social
1452442,product advancement,Other
1452442,product continue,Other
1452442,existing value,needs
1452442,update nt,Other
1452442,charged demand,needs
1452442,demand generation,needs
1452442,lead generation,social
1452442,scoring anything,Other
1452442,lead way,social
1452442,way leverage,Other
1452442,leverage data,Other
1452442,data value,needs
1452442,value boat,needs
1452442,boat load,Other
1482242,deeper customization,Other
1482242,customization work,Other
1522203,growing company,Other
1522203,finding way,Other
1522203,core team,Other
1522203,helping guide,Other
1579720,meeting account,Other
1579720,account manager,Other
1579720,onboarding process,Other
1595847,character requirement,Other
1595847,requirement cost,cost
1663299,day night,Other
1666968,little staff,Other
1666968,help staff,Other
1666968,staff everything,Other
1666968,everything fall,Other
1666968,fall place,Other
1666968,place complaint,Other
1666968,lead management,social
1666968,management screen,Other
1666968,nt work,Other
1666968,work lead,social
1666968,possible solution,Other
1666968,customize solution,Other
1666968,little bit,Other
1666968,bit suit,Other
1666968,individual requirement,Other
1683784,user interface,needs
1683784,interface application,tools and tech
1683784,onboarding process,Other
1691819,encountered anything,Other
1706680,receive formfill,Other
1709075,feature require,Info
1709075,require plan,Other
1709075,pricey startup,cost
1728103,overall experience,Info
1760009,customizable product,Other
1760009,hard product,Other
1760009,crowd customer,Other
1760009,valuable show,Other
1760163,score impact,Other
1760163,total vendor,Other
1793050,little pricey,cost
1793050,compared competitor,Other
1872588,little star,Other
1872588,unclear star,Other
1872588,star tenth,Other
1872588,tenth star,Other
1912208,found anything,Other
1912208,crowd team,Other
1912208,team product,Other
1912208,product point,Other
1912519,tool opportunity,tools and tech
1912519,offer customizations,Other
1912519,future customization,Other
1912519,customization option,Other
1922126,negative develop,Info
1922126,improve develop,Other
1922126,develop implementation,Other
1934479,lead traction,social
1934479,traction platform,Other
1934479,big lead,social
1934479,platform hope,Other
1934479,organic channel,Other
1934479,cap amount,Other
1934479,extra lead,social
1934479,close number,Other
1934479,number begin,Other
1950207,complaint tat,Other
1950207,reply issue,Other
1950207,issue bit,Other
1953502,email notification,social
1960560,minor tech,Other
1960560,tech hiccup,Other
1960560,little patience,Other
1960560,tier data,Other
1960560,data content,Other
1960560,content mystifying,Other
1967866,helpful decrease,Other
1967866,total number,Other
1968850,found anything,Other
1992901,initial email,social
1992901,due email,social
1992901,email issue,social
1992901,issue end,Other
1992901,little end,Other
2007693,limitation profile,Other
2007693,profile data,Other
2007693,platform team,Other
2007693,help data,Other
2014260,bug reference,Info
2014260,reference sheet,Other
2014260,sheet tool,tools and tech
2014260,talk realm,Other
2032398,little price,cost
2032398,center price,cost
2032398,little price,cost
2032398,clunky price,cost
2032398,price performance,cost
2032398,bit longterm,Other
2032398,question longterm,Other
2066294,buyer intent,Other
2066294,intent notification,Other
2066294,receive report,Other
2077462,contact detail,Other
2090914,include customer,Other
2090914,customer name,Other
2090914,name list,Other
2090914,list customer,Other
2090914,admin account,Other
2134819,nt notice,Other
2134819,notice everything,Other
2158700,overall way,Other
2158700,look market,Other
2158700,market way,Other
2158700,calculates market,Other
2158700,market presence,Other
2158700,grid report,Other
2158700,report improvement,Other
2158700,factor number,Other
2158700,number employee,Other
2158700,employee revenue,roi
2158700,web presence,Other
2158700,hundred product,Other
2158700,advantage specialist,Other
2158700,market company,Other
2158700,microsoft market,Other
2158700,market presence,Other
2158700,presence sheer,Other
2158700,sheer size,Other
2158700,handful employee,Other
2182313,landing page,landing and other pages
2182313,response campaign,Other
2188856,quadrant rating,Other
2188856,based variety,Other
2188856,variety factor,Other
2264645,management perspective,Other
2264645,aspect change,Other
2264645,change flexibility,Other
2264645,flexibility call,Other
2264645,page product,landing and other pages
2264645,trial feel,Other
2264645,potential customer,Other
2264645,customer offering,Other
2277772,lead generation,social
2277772,generation result,Other
2277772,low funnel,Other
2277772,lead generation,social
2280568,enterprise tool,tools and tech
2280568,digest support,Other
2280568,onboarding team,Other
2289204,feature till,Info
2289204,till account,Other
2289204,account manager,Other
2289204,reported issue,Other
2289204,submission failure,Other
2289204,submit button,Other
2310756,nt tell,Other
2310756,tell account,Other
2310756,account manager,Other
2310756,little thing,Other
2310756,bit thing,Other
2310756,expensive vendor,cost
2324242,extracting information,Info
2324242,information lead,social
2324242,lead company,social
2324242,nt expect,Other
2366343,issue banner,Other
2366343,banner badge,tools and tech
2366343,additional charge,cost
2366343,charge integration,cost
2366343,integration platform,Other
2366343,platform hubspot,Other
2366343,using platform,Other
2506505,price point,cost
2506505,tier prevents,Other
2506505,upgrade prevents,Other
2506505,steep prevents,Other
2506505,making platform,Other
2506505,export data,Other
2506505,data profile,Other
2717293,customer express,Other
2717293,express frustration,Other
