id,good_reviews
179888,excellent service and it is clear that Advocately is committed to getting the best results for their clients
184054,better with our clients
188638,best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry
188638,best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there
190023,best result
288758,good pricing
297426,high quality leads to our sales team
300311,best results of the programs we are running
300311,better CSM than Andrew Ledet
302708,better suit our needs and help position Certify stronger in the selling process
334128,good and bad about a particular offering
334128,better informed
334309,best to either fix the problem or get others from the extended team involved to resolve or come up with a viable and workable solution
335954,best traffic sources for us
336667,best educate our prospects on the value of our service
336856,good approach
336856,good to collect customer feedback
339183,better than other platforms
366910,good partnership
372540,best unfiltered and comprehensive platform to learn about strengths and weaknesses of various b2b tech in the market both established and contending
377146,best practices when it comes to recruiting and leveraging reviews
377146,better intel and retargeting purposes
519906,best onboarding experience compared to some of the other peer review sites I have used
555826,excellent support in getting you ramped up and helping you to understand all the features
633169,excellent suggestions
636315,best value out of their platform and give us options that work well with the goals and needs of our business
637585,best one I
641705,better than I expected
658177,best practice documentation and case studies to help us get up to speed
673068,best thing about G2 are the people who work their
715566,excellent communicators
716665,good visual overview
716665,best experiences
747330,best ever
749930,better business intelligence
815404,best I
815404,excellent results from our review campaign
877046,best practices
990946,better positioned on the grid
1108085,good as the last and the transition has been seamless
1299532,better improve our funnel and conversion
1368615,best is the unique access to engage with prospects that are in a research phase by providing unfiltered perspective from our customers
1663299,best experience I have ever received from a vendor
1912208,best part is that they follow up with detailed instructions after every call
1930390,best practices and provided valuable advice and support
1934479,best websites I
1968850,excellent experience with G2 Crowd
2077462,best practice
2080920,excellent and really helps to focus our marketing efforts towards active buyers
2104489,better experience
2158700,best about G2 is that we
2324242,best thing about them
2366343,best 3rd party validation platform for software companies
2366343,better than our competitors
2765243,excellent service at our industry event where they gathered 200
2922654,best use out of the platform
3351415,good for your business
3747554,best practices on what other users are doing to make sure you
4168053,best value
4194982,excellent tool for us to determine real opportunities and who is searching for our solutions
4212266,best marketing material for us
4360983,best practice for our page
4366410,best thing about G2 is how the plan and onboarding are tailored to our business case
4366410,best use the G2 features for us
4374917,best optimize our company profile
4457650,best practices
4552188,good backend full of insight to better manage your online presence
4644690,best thing about G2 is how the implementation and customer success team from G2 take the time to onboard you onto the platform
4647035,good can result
4650358,better compete in your industry
4650358,good analytics platform and easy to manage profile compared to other Review Sites
4651812,best source for reviews to help you choose the right software for your business
4652666,best CSM out there
4652666,better and what makes me recommend G2 to others professionals over and over again
4652666,best I have had
4652905,best for our team
4654874,excellent luck with G2
4654874,best light
4658868,best respective CSM and AE I
4660815,good advice on where to prioritize our efforts
4660815,good insights into customer sentiment and competitive intelligence
4666992,best about G2 is their admin portal
4668614,better job of explaining specific features
4668834,excellent product and service
4671079,better in an easy
4704116,best way to leverage the available assets and insights
4705629,excellent service during set
4730641,best part is
4934973,best piece has been our account team
6883064,best you can use the solutions on offer
7037491,best about G2
7059389,excellent and new innovations are always coming out
7064218,high quality of both categorizationa and reviews
7064218,best I
7064409,excellent platform to help increase credibility with prospects
7064728,good our product is
7064817,best part is the Customer Success because you are in partnership with an expert and they are always on hand to support
7072610,good experience for our users
7072610,good way to value our work
7073088,good as the platform is for helping us showcase our product
7073246,best on G2
7073313,best practices
7074955,best team Mark and Henry are doing amazing work with us
7075152,best practices
7076443,best thing is that G2 helps new
7076443,best thing is that they do it as part of a genuine partnership with us
7079149,best part of the experience
7079155,best use the G2 features to maximize the value from the solution
7079550,excellent account management
7079715,best part of working with G2 Marketing Solutions is building out your company profile
7082855,best we
7083898,best practices suitable for our situation
7083920,best for our business
7083999,best thing you can do for your organic traffic without needing to publish content on your own
7085983,best channels to capture high intent prospects
7086161,better results
7086404,good market overview
7086404,best place to find the right tool to equip my team with the right tech stack
7086404,good things to say about both
7086454,best practices and more to help or even design the whole review strategy with you
7086793,excellent support and have been a great help in securing our new reviews and badges
7091704,best thing about G2 though is their team
7091989,good tips on how to work even better with generating leads etc
7094503,better understand the market
7095432,best tool there is to gather reviews for your application
7095432,better than your competitors on a daily basis
7102303,good resource to gather honest feedback from our customers
7105388,best practices of collecting reviews and
7123216,good ideas for collecting more reviews
7123216,best to help us stay on top
7123829,good analytics to compare your performance with other competitors
7124004,good plus
7136979,good profile and good reviews will also help your sales team with prospects
7146576,excellent service and support team
7146882,excellent platform that allows us to collect authentic reviews and increase credibility with prospects
7146882,excellent at guiding us through the process
7147296,best is the international visibility provided by the platform
7155408,best thing about G2 is the trust they have built with their own audience
7164670,best part of working with G2 is having a dedicated team to meet with every month
7184797,better ways to use the platform
7186990,best out of the platform and maximise the data we get from G2 as much as possible
7208760,better at this point
7208760,best customer support I have experienced
7216281,best parts of your offer
7225052,best thing for me is the intent data
7230213,excellent Relationships and Success Managers
7242063,good overview of how you are doing versus your competitors
7244261,best advice and explained every little detail
7250291,best to make G2 work for us
7251300,excellent job of positioning G2 as the market leader and attracting
7262262,best I
7263820,better understanding of our market positioning
7263820,better serve our client base and develop our software
7267210,good initiative
7269533,good start with reviews on the platform
7269533,excellent way for us to build brand awareness and credibility
7283672,excellent communicator
7296379,best practice WW
7450059,best features
7450826,better and more detailed insight to make a decision
7880060,best practices on how we can use G2 more effectively and joins the call with the best possible energy
7971836,best solutions for the growth of our businesses
8586464,better customize the searcher
8709447,better on searches
9148665,best help our company succeed
9148789,best part is their proactiveness to help you maximize your ROI and their openess to correct situations that aren
9149175,better than the last
9149175,best for our organization
9149175,better than any other review vendor we use
9149175,good quality reviews from these efforts which helps us show up well on quarterly reports and earn tons of badges which we frequently use for marketing purposes
9160307,best are the various ways to promote ones reviews
9167134,excellent in getting me up to speed and offering solutions for a newbie like me
9171769,best part about G2 is the customer support provided
9176043,best is that you don
9181442,good quality leads using their site for research on software
9181554,best return on investment
9185072,best thing about G2 though is the support from our Account Manager
9186298,best practices
9202903,better understand our customer
9202903,better understanding
9202903,excellent at capturing the practioner
9228440,best part
9239658,best I have worked with so far
9460993,best solve a particular software or hardware challenge
